Cell,meta_cluster
BM2_bcFKUV,Lymphoid
BM2_bcDWVT,Lymphoid
BM2_bcEHDL,Lymphoid
BM2_bcATIY,Lymphoid
BM2_bcGPHV,Lymphoid
BM2_bcARIL,Lymphoid
BM2_bcHIHR,Lymphoid
BM2_bcEQAM,Lymphoid
BM2_bcGPPG,Lymphoid
BM2_bcEICG,Lymphoid
BM2_bcCAWR,Lymphoid
BM2_bcBKSD,Lymphoid
BM2_bcDQXZ,Lymphoid
BM2_bcHNAV,Lymphoid
BM2_bcHKMZ,HSC/MPP
BM2_bcHVWV,Myeloid-biased-MPP
BM2_bcEDIG,Myeloid-biased-MPP
BM2_bcBRDP,Granulocyte
BM2_bcETCA,Granulocyte
BM2_bcGBHX,Granulocyte
BM2_bcAGRM,Granulocyte
BM2_bcCXBN,Granulocyte
BM2_bcAIKZ,Granulocyte
BM2_bcBSAP,Granulocyte
BM2_bcHNFV,Granulocyte
BM2_bcBGTG,Granulocyte
BM2_bcDKOY,Granulocyte
BM2_bcHWTH,Granulocyte
BM2_bcCCOG,Granulocyte
BM2_bcEKUJ,Granulocyte
BM2_bcCTHP,Granulocyte
BM2_bcHFDF,Granulocyte
BM2_bcBOZF,Granulocyte
BM2_bcCBXN,Myeloid-biased-MPP
BM2_bcFGRR,Granulocyte
BM2_bcECEF,Granulocyte
BM2_bcEZLL,Granulocyte
BM2_bcBHYS,Granulocyte
BM2_bcHHJH,Granulocyte
BM2_bcDBES,HSC/MPP
BM2_bcADDP,Myeloid-biased-MPP
BM2_bcAGNS,Granulocyte
BM2_bcDXBQ,Granulocyte
BM2_bcGQJX,Granulocyte
BM2_bcIAYO,Granulocyte
BM2_bcABUX,Granulocyte
BM2_bcHIHF,Granulocyte
BM2_bcAOVS,Granulocyte
BM2_bcGWZN,Myeloid-biased-MPP
BM2_bcBDWS,Granulocyte
BM2_bcCBPS,Myeloid-biased-MPP
BM2_bcIIND,Granulocyte
BM2_bcHGTS,Granulocyte
BM2_bcDKGM,Granulocyte
BM2_bcAXLN,Granulocyte
BM2_bcCMYG,Granulocyte
BM2_bcAYIT,Granulocyte
BM2_bcDUFC,Granulocyte
BM2_bcAUEY,Granulocyte
BM2_bcFCGR,Granulocyte
BM2_bcAVZA,Granulocyte
BM2_bcCJGU,Granulocyte
BM2_bcAPQP,Myeloid-biased-MPP
BM2_bcGOWK,Myeloid-biased-MPP
BM2_bcCVAF,Granulocyte
BM2_bcDRZK,Granulocyte
BM2_bcCGRL,Granulocyte
BM2_bcHZMS,Myeloid-biased-MPP
BM2_bcFFMW,Myeloid-biased-MPP
BM2_bcEAZW,Myeloid-biased-MPP
BM2_bcEBZK,Myeloid-biased-MPP
BM2_bcHUUL,Myeloid-biased-MPP
BM2_bcBYJV,Granulocyte
BM2_bcBFZA,Granulocyte
BM2_bcCNXB,Granulocyte
BM2_bcDWXM,Granulocyte
BM2_bcDHMR,Granulocyte
BM2_bcAIXZ,Myeloid-biased-MPP
BM2_bcCNKL,Granulocyte
BM2_bcGAAI,Granulocyte
BM2_bcFTFG,Myeloid-biased-MPP
BM2_bcCLPJ,Granulocyte
BM2_bcFJWA,Granulocyte
BM2_bcDDFF,Granulocyte
BM2_bcBVRA,Granulocyte
BM2_bcATHT,Granulocyte
BM2_bcDAEZ,Granulocyte
BM2_bcENXA,Granulocyte
BM2_bcGZGK,Granulocyte
BM2_bcEUUB,Granulocyte
BM2_bcELKA,Granulocyte
BM2_bcBQKC,Granulocyte
BM2_bcIEBB,Myeloid-biased-MPP
BM2_bcHUEE,Granulocyte
BM2_bcHVJN,Granulocyte
BM2_bcCTGA,Granulocyte
BM2_bcDRPS,Granulocyte
BM2_bcAPNE,Myeloid-biased-MPP
BM2_bcBCYT,Granulocyte
BM2_bcARSE,Granulocyte
BM2_bcDGPZ,Granulocyte
BM2_bcCRTJ,Myeloid-biased-MPP
BM2_bcBTKH,Granulocyte
BM2_bcHGEQ,Granulocyte
BM2_bcAUBD,Granulocyte
BM2_bcBPIM,Granulocyte
BM2_bcFXHK,Granulocyte
BM2_bcGNWY,Granulocyte
BM2_bcCVHM,Granulocyte
BM2_bcCSXC,Granulocyte
BM2_bcCPCO,Myeloid-biased-MPP
BM2_bcHVOT,Granulocyte
BM2_bcDVXV,Granulocyte
BM2_bcGCND,Granulocyte
BM2_bcECAZ,Granulocyte
BM2_bcBYKB,Granulocyte
BM2_bcGSRG,Myeloid-biased-MPP
BM2_bcGRFF,Granulocyte
BM2_bcFAJQ,Granulocyte
BM2_bcANFM,Granulocyte
BM2_bcCLWZ,Granulocyte
BM2_bcCFVP,Granulocyte
BM2_bcIDGF,Granulocyte
BM2_bcELVP,Granulocyte
BM2_bcAIQN,Granulocyte
BM2_bcGNTD,Granulocyte
BM2_bcCSHZ,Granulocyte
BM2_bcCFCC,Myeloid-biased-MPP
BM2_bcDCCE,Myeloid-biased-MPP
BM2_bcBGSJ,HSC/MPP
BM2_bcADTU,Granulocyte
BM2_bcDZJT,Granulocyte
BM2_bcHBRA,Granulocyte
BM2_bcEOGF,Granulocyte
BM2_bcEODP,Granulocyte
BM2_bcAHIW,Granulocyte
BM2_bcGCFF,Granulocyte
BM2_bcFLLH,Granulocyte
BM2_bcGXBF,Granulocyte
BM2_bcEAJY,Granulocyte
BM2_bcDBLS,Granulocyte
BM2_bcHEEE,Granulocyte
BM2_bcBYQO,Granulocyte
BM2_bcCXIN,Granulocyte
BM2_bcHSUS,Granulocyte
BM2_bcGEED,Granulocyte
BM2_bcEDYH,Granulocyte
BM2_bcFHSP,Granulocyte
BM2_bcAVAY,Granulocyte
BM2_bcALJN,Granulocyte
BM2_bcAUJT,Granulocyte
BM2_bcGJVC,Granulocyte
BM2_bcBFFU,Granulocyte
BM2_bcGSLG,Granulocyte
BM2_bcCMQX,Granulocyte
BM2_bcBIBI,Granulocyte
BM2_bcACTG,Granulocyte
BM2_bcDFNF,Granulocyte
BM2_bcDTUY,Granulocyte
BM2_bcDSVW,Myeloid-biased-MPP
BM2_bcBHXZ,Myeloid-biased-MPP
BM2_bcIHKV,Granulocyte
BM2_bcAFRG,Granulocyte
BM2_bcABHJ,Granulocyte
BM2_bcAVQZ,Granulocyte
BM2_bcCFXW,Granulocyte
BM2_bcBHAX,Granulocyte
BM2_bcBZSQ,Granulocyte
BM2_bcHLXO,Granulocyte
BM2_bcELHJ,Myeloid-biased-MPP
BM2_bcGYWC,Granulocyte
BM2_bcBQHT,Granulocyte
BM2_bcHJIC,Monocyte
BM2_bcGBHI,Granulocyte
BM2_bcDZSI,Granulocyte
BM2_bcCBHS,Granulocyte
BM2_bcCLZY,Granulocyte
BM2_bcGMFP,Granulocyte
BM2_bcBJEO,HSC/MPP
BM2_bcGBIF,Granulocyte
BM2_bcDZMH,Granulocyte
BM2_bcBBRM,Granulocyte
BM2_bcFBKN,Granulocyte
BM2_bcAMBX,Granulocyte
BM2_bcDWNN,Granulocyte
BM2_bcHHCF,Granulocyte
BM2_bcAKZT,Granulocyte
BM2_bcGEYY,Granulocyte
BM2_bcDXMJ,Granulocyte
BM2_bcDHPV,Granulocyte
BM2_bcGKKS,Granulocyte
BM2_bcCORZ,Granulocyte
BM2_bcDOES,Granulocyte
BM2_bcCMBD,Erythroid
BM2_bcBUTJ,HSC/MPP
BM2_bcBBRD,Erythroid
BM2_bcHRAV,Erythroid
BM2_bcCFUQ,Meg/Ery-biased-MPP
BM2_bcGOPT,Erythroid
BM2_bcFYCK,Erythroid
BM2_bcADFL,Meg/Ery-biased-MPP
BM2_bcCGWU,Erythroid
BM2_bcFKOM,Erythroid
BM2_bcDOCM,Erythroid
BM2_bcBWPA,Erythroid
BM2_bcEYEA,Platelet
BM2_bcIIYL,Meg/Ery-biased-MPP
BM2_bcHYHV,HSC/MPP
BM2_bcCEEN,Meg/Ery-biased-MPP
BM2_bcBMUB,Erythroid
BM2_bcGOPW,Erythroid
BM2_bcFHAP,Meg/Ery-biased-MPP
BM2_bcGOBX,Meg/Ery-biased-MPP
BM2_bcIGVQ,Erythroid
BM2_bcAGJV,HSC/MPP
BM2_bcBJCY,Platelet
BM2_bcCMMD,Meg/Ery-biased-MPP
BM2_bcHRIH,Meg/Ery-biased-MPP
BM2_bcDBBQ,Meg/Ery-biased-MPP
BM2_bcGAWT,HSC/MPP
BM2_bcDKDR,HSC/MPP
BM2_bcCIIW,Meg/Ery-biased-MPP
BM2_bcEZOX,Meg/Ery-biased-MPP
BM2_bcDDXV,Erythroid
BM2_bcCNMP,Basophil
BM2_bcCVXH,HSC/MPP
BM2_bcCZWF,Meg/Ery-biased-MPP
BM2_bcDNUU,Erythroid
BM2_bcHOZH,HSC/MPP
BM2_bcEXLH,Erythroid
BM2_bcESDA,Basophil
BM2_bcGHZW,Granulocyte
BM2_bcGTZG,Basophil
BM2_bcCPLS,HSC/MPP
BM2_bcIAXX,Myeloid-biased-MPP
BM2_bcDSIH,Meg/Ery-biased-MPP
BM2_bcBSLI,Meg/Ery-biased-MPP
BM2_bcADKL,HSC/MPP
BM2_bcHVXU,Erythroid
BM2_bcATAZ,Meg/Ery-biased-MPP
BM2_bcACQI,HSC/MPP
BM2_bcHLAR,Meg/Ery-biased-MPP
BM2_bcACDO,Meg/Ery-biased-MPP
BM2_bcDDTP,Erythroid
BM2_bcDVPZ,Meg/Ery-biased-MPP
BM2_bcFHMT,Meg/Ery-biased-MPP
BM2_bcHCOO,Erythroid
BM2_bcHNAU,Erythroid
BM2_bcDSOP,Basophil
BM2_bcEPJQ,Erythroid
BM2_bcGOBK,Erythroid
BM2_bcCRVV,Platelet
BM2_bcCMWS,Erythroid
BM2_bcFLAI,Platelet
BM2_bcAOCZ,Myeloid-biased-MPP
BM2_bcBGLZ,Granulocyte
BM2_bcACQJ,Meg/Ery-biased-MPP
BM2_bcDKGA,Erythroid
BM2_bcGGXJ,Meg/Ery-biased-MPP
BM2_bcGOUJ,Meg/Ery-biased-MPP
BM2_bcBOCQ,HSC/MPP
BM2_bcGDTI,Basophil
BM2_bcBXAX,Erythroid
BM2_bcEDPQ,Platelet
BM2_bcIISI,HSC/MPP
BM2_bcDQUH,Meg/Ery-biased-MPP
BM2_bcHAUJ,Meg/Ery-biased-MPP
BM2_bcEFBH,Platelet
BM2_bcBFYJ,Meg/Ery-biased-MPP
BM2_bcFXAV,Meg/Ery-biased-MPP
BM2_bcCKLA,Meg/Ery-biased-MPP
BM2_bcHMMF,Erythroid
BM2_bcALXH,Basophil
BM2_bcBSGY,Erythroid
BM2_bcECCB,Erythroid
BM2_bcFGWD,Meg/Ery-biased-MPP
BM2_bcBKKB,HSC/MPP
BM2_bcDBNL,Meg/Ery-biased-MPP
BM2_bcIBAC,Meg/Ery-biased-MPP
BM2_bcEDJC,Erythroid
BM2_bcCPYW,Erythroid
BM2_bcBXFM,HSC/MPP
BM2_bcCEIF,Erythroid
BM2_bcACAN,Erythroid
BM2_bcCZJJ,Meg/Ery-biased-MPP
BM2_bcCZAW,HSC/MPP
BM2_bcACSG,Basophil
BM2_bcDQYR,Erythroid
BM2_bcHTGB,Erythroid
BM2_bcATEW,Platelet
BM2_bcHRKT,Meg/Ery-biased-MPP
BM2_bcFUVL,Meg/Ery-biased-MPP
BM2_bcFILZ,Basophil
BM2_bcFMVW,Meg/Ery-biased-MPP
BM2_bcEBWT,Meg/Ery-biased-MPP
BM2_bcETBF,HSC/MPP
BM2_bcHIOF,HSC/MPP
BM2_bcBBLS,Erythroid
BM2_bcHZIN,HSC/MPP
BM2_bcEOOT,Erythroid
BM2_bcBXNT,Erythroid
BM2_bcEVGO,Erythroid
BM2_bcFHZA,Meg/Ery-biased-MPP
BM2_bcEUET,Platelet
BM2_bcBFAS,Meg/Ery-biased-MPP
BM2_bcGQCG,Erythroid
BM2_bcBHMC,Erythroid
BM2_bcCEUI,Erythroid
BM2_bcDVLE,Meg/Ery-biased-MPP
BM2_bcGBGH,HSC/MPP
BM2_bcFJVL,Platelet
BM2_bcFXEI,Meg/Ery-biased-MPP
BM2_bcHYTJ,HSC/MPP
BM2_bcCEZV,Erythroid
BM2_bcGQWA,Meg/Ery-biased-MPP
BM2_bcIIQI,Erythroid
BM2_bcCAQL,HSC/MPP
BM2_bcGQXU,Platelet
BM2_bcGWMW,Erythroid
BM2_bcALWD,Erythroid
BM2_bcFPIN,Erythroid
BM2_bcCBFQ,Basophil
BM2_bcEBZR,Meg/Ery-biased-MPP
BM2_bcCDMG,Meg/Ery-biased-MPP
BM2_bcGTVX,Meg/Ery-biased-MPP
BM2_bcCDGV,Erythroid
BM2_bcBCRV,Monocyte
BM2_bcGTHF,Erythroid
BM2_bcESSX,Erythroid
BM2_bcDAMV,Erythroid
BM2_bcGTTF,Erythroid
BM2_bcCDEJ,Meg/Ery-biased-MPP
BM2_bcDRZW,Meg/Ery-biased-MPP
BM2_bcFTZA,Meg/Ery-biased-MPP
BM2_bcCXQD,Meg/Ery-biased-MPP
BM2_bcAAFN,Meg/Ery-biased-MPP
BM2_bcBIDX,Erythroid
BM2_bcBPAJ,HSC/MPP
BM2_bcIBKK,Erythroid
BM2_bcCPPV,Platelet
BM2_bcFAGK,Platelet
BM2_bcEBDP,Erythroid
BM2_bcHZLB,Meg/Ery-biased-MPP
BM2_bcFSEW,Erythroid
BM2_bcEOFW,Erythroid
BM2_bcCCAE,Meg/Ery-biased-MPP
BM2_bcCALI,Platelet
BM2_bcBIVR,Erythroid
BM2_bcDMWH,Platelet
BM2_bcDVGX,Erythroid
BM2_bcAKLR,Meg/Ery-biased-MPP
BM2_bcAEIP,Meg/Ery-biased-MPP
BM2_bcEMHQ,Meg/Ery-biased-MPP
BM2_bcCFEM,Meg/Ery-biased-MPP
BM2_bcBEDA,Meg/Ery-biased-MPP
BM2_bcBVAG,Erythroid
BM2_bcHDQT,Meg/Ery-biased-MPP
BM2_bcGZEI,Meg/Ery-biased-MPP
BM2_bcCIZB,Meg/Ery-biased-MPP
BM2_bcBVFD,Erythroid
BM2_bcCKVS,Erythroid
BM2_bcHGWL,Meg/Ery-biased-MPP
BM2_bcGFMZ,Erythroid
BM2_bcHUIE,Meg/Ery-biased-MPP
BM2_bcEXUI,Meg/Ery-biased-MPP
BM2_bcAKOA,Meg/Ery-biased-MPP
BM2_bcHQBO,Meg/Ery-biased-MPP
BM2_bcENRS,Meg/Ery-biased-MPP
BM2_bcFJPN,Erythroid
BM2_bcBMBK,Erythroid
BM2_bcEJLQ,Erythroid
BM2_bcGHJQ,Erythroid
BM2_bcHYJX,Platelet
BM2_bcGZUV,Meg/Ery-biased-MPP
BM2_bcDETA,Meg/Ery-biased-MPP
BM2_bcCMNL,Meg/Ery-biased-MPP
BM2_bcCYSD,Meg/Ery-biased-MPP
BM2_bcBODP,Meg/Ery-biased-MPP
BM2_bcANWB,HSC/MPP
BM2_bcEXSU,Meg/Ery-biased-MPP
BM2_bcCKBA,Erythroid
BM2_bcDJEF,Erythroid
BM2_bcCKZR,HSC/MPP
BM2_bcDKTP,Erythroid
BM2_bcGCGE,Erythroid
BM2_bcCLXL,Erythroid
BM2_bcDUTN,Meg/Ery-biased-MPP
BM2_bcEMSY,Meg/Ery-biased-MPP
BM2_bcHUWO,Erythroid
BM2_bcCWXF,Meg/Ery-biased-MPP
BM2_bcIGWB,HSC/MPP
BM2_bcDHDM,Erythroid
BM2_bcEKQI,HSC/MPP
BM2_bcGRVR,Meg/Ery-biased-MPP
BM2_bcGUWX,HSC/MPP
BM2_bcENLO,HSC/MPP
BM2_bcGYDW,Erythroid
BM2_bcCMBR,Meg/Ery-biased-MPP
BM2_bcBHVW,Erythroid
BM2_bcGIJW,Meg/Ery-biased-MPP
BM2_bcDLKF,Erythroid
BM2_bcHCZE,Erythroid
BM2_bcHGRC,Platelet
BM2_bcANBS,Meg/Ery-biased-MPP
BM2_bcGVTN,Erythroid
BM2_bcGCCT,Erythroid
BM2_bcEEDE,Meg/Ery-biased-MPP
BM2_bcAXRD,HSC/MPP
BM2_bcCTCN,Meg/Ery-biased-MPP
BM2_bcFMOT,Meg/Ery-biased-MPP
BM2_bcAOKR,HSC/MPP
BM2_bcGPSZ,Meg/Ery-biased-MPP
BM2_bcEANN,Erythroid
BM2_bcBQZL,Meg/Ery-biased-MPP
BM2_bcHIIS,Basophil
BM2_bcFNIV,Erythroid
BM2_bcIBJW,Meg/Ery-biased-MPP
BM2_bcGMLP,Erythroid
BM2_bcDNBT,Meg/Ery-biased-MPP
BM2_bcGYKL,Meg/Ery-biased-MPP
BM2_bcEALJ,Meg/Ery-biased-MPP
BM2_bcCOQF,HSC/MPP
BM2_bcAMGR,Erythroid
BM2_bcFZFH,Meg/Ery-biased-MPP
BM2_bcFVEW,Erythroid
BM2_bcAXQB,Meg/Ery-biased-MPP
BM2_bcGTHI,Meg/Ery-biased-MPP
BM2_bcGKTO,HSC/MPP
BM2_bcAMYU,Meg/Ery-biased-MPP
BM2_bcFXSY,Erythroid
BM2_bcIEPK,Meg/Ery-biased-MPP
BM2_bcAILQ,Meg/Ery-biased-MPP
BM2_bcGWWA,Lymphoid
BM2_bcHCOV,Lymphoid
BM2_bcHQDG,Lymphoid
BM2_bcAVUC,Lymphoid
BM2_bcHEWN,Lymphoid
BM2_bcEKIF,Lymphoid
BM2_bcBBNH,Lymphoid
BM2_bcAUHG,HSC/MPP
BM2_bcGXUH,Lymphoid
BM2_bcBWMP,Lymphoid
BM2_bcABWH,Myeloid-biased-MPP
BM2_bcHNVL,HSC/MPP
BM2_bcHPRN,Lymphoid
BM2_bcBMVY,Lymphoid
BM2_bcHXNA,Lymphoid
BM2_bcFXHC,Lymphoid
BM2_bcGSYX,HSC/MPP
BM2_bcCTSG,HSC/MPP
BM2_bcDLCN,Lymphoid
BM2_bcEJXW,HSC/MPP
BM2_bcDXAE,Lymphoid
BM2_bcABTL,Lymphoid
BM2_bcGEBA,Lymphoid
BM2_bcFMPD,Lymphoid
BM2_bcCQRK,Lymphoid
BM2_bcCYLB,HSC/MPP
BM2_bcDWSS,Lymphoid
BM2_bcCCVJ,HSC/MPP
BM2_bcBBXU,HSC/MPP
BM2_bcHZUG,Lymphoid
BM2_bcGDOE,Lymphoid
BM2_bcDOHV,Lymphoid
BM2_bcAYZC,Lymphoid
BM2_bcDKSQ,HSC/MPP
BM2_bcCQIU,Lymphoid
BM2_bcBIHG,Lymphoid
BM2_bcDCNL,Lymphoid
BM2_bcHERF,Lymphoid
BM2_bcIAAM,Lymphoid
BM2_bcASAD,Lymphoid
BM2_bcDMFO,Lymphoid
BM2_bcGOEK,Lymphoid
BM2_bcAHBE,Lymphoid
BM2_bcCGBZ,Lymphoid
BM2_bcGEQS,Lymphoid
BM2_bcEKBA,HSC/MPP
BM2_bcCOQX,Granulocyte
BM2_bcHKLB,Lymphoid
BM2_bcERPM,Lymphoid
BM2_bcDAAK,Lymphoid
BM2_bcACGB,Lymphoid
BM2_bcDUFH,Myeloid-biased-MPP
BM2_bcGEOA,Lymphoid
BM2_bcFISX,HSC/MPP
BM2_bcDYIF,Lymphoid
BM2_bcEHJB,HSC/MPP
BM2_bcHLNM,HSC/MPP
BM2_bcDOEE,Lymphoid
BM2_bcAJUT,Lymphoid
BM2_bcHGQF,Lymphoid
BM2_bcEUJY,Lymphoid
BM2_bcBHRR,Lymphoid
BM2_bcFYZA,Lymphoid
BM2_bcBQPC,Lymphoid
BM2_bcAFIL,Lymphoid
BM2_bcEPLI,Lymphoid
BM2_bcHSIZ,Lymphoid
BM2_bcEAOS,Lymphoid
BM2_bcDVLI,Lymphoid
BM2_bcBSKV,Lymphoid
BM2_bcGHKH,HSC/MPP
BM2_bcGASA,Lymphoid
BM2_bcBJRJ,Lymphoid
BM2_bcICHY,Lymphoid
BM2_bcGGJD,Lymphoid
BM2_bcHCYY,Lymphoid
BM2_bcFTGR,Lymphoid
BM2_bcAPIS,Lymphoid
BM2_bcAYBY,Monocyte
BM2_bcGZCG,HSC/MPP
BM2_bcHHRB,Lymphoid
BM2_bcCRGJ,Myeloid-biased-MPP
BM2_bcGGUY,HSC/MPP
BM2_bcDRFQ,Lymphoid
BM2_bcCUEQ,Lymphoid
BM2_bcBBZS,Lymphoid
BM2_bcAMSJ,Lymphoid
BM2_bcGQTO,Lymphoid
BM2_bcFLCG,Lymphoid
BM2_bcCSDV,Lymphoid
BM2_bcGCTV,Lymphoid
BM2_bcAKKB,Lymphoid
BM2_bcASYR,Lymphoid
BM2_bcHWAE,Lymphoid
BM2_bcBHVB,Lymphoid
BM2_bcHNKG,HSC/MPP
BM2_bcANBZ,Lymphoid
BM2_bcGYBH,Lymphoid
BM2_bcCVFJ,Lymphoid
BM2_bcBXDX,Lymphoid
BM2_bcCVKL,Lymphoid
BM2_bcHVSI,Lymphoid
BM2_bcDPSC,HSC/MPP
BM2_bcHWJK,HSC/MPP
BM2_bcGOMU,HSC/MPP
BM2_bcATVT,HSC/MPP
BM2_bcAYGD,HSC/MPP
BM2_bcHKEN,HSC/MPP
BM2_bcATRG,Lymphoid
BM2_bcBLPE,Lymphoid
BM2_bcAOYO,Lymphoid
BM2_bcGRMX,Lymphoid
BM2_bcGEIO,Lymphoid
BM2_bcEJQG,Lymphoid
BM2_bcCTDB,Lymphoid
BM2_bcBDLJ,Lymphoid
BM2_bcCBMW,Lymphoid
BM2_bcFQBR,Lymphoid
BM2_bcBWZS,Lymphoid
BM2_bcETCJ,Lymphoid
BM2_bcCFSV,Lymphoid
BM2_bcFPWY,Lymphoid
BM2_bcBDDR,Lymphoid
BM2_bcGYIX,Lymphoid
BM2_bcABPY,Lymphoid
BM2_bcCPZS,Lymphoid
BM2_bcDGVD,Lymphoid
BM2_bcEHHU,Lymphoid
BM2_bcGNYI,Lymphoid
BM2_bcHLBX,HSC/MPP
BM2_bcIFZL,Monocyte
BM2_bcBKLU,Lymphoid
BM2_bcBGIK,Myeloid-biased-MPP
BM2_bcBKXY,Lymphoid
BM2_bcGWCP,Lymphoid
BM2_bcBQTE,HSC/MPP
BM2_bcASDU,Lymphoid
BM2_bcCDRP,Lymphoid
BM2_bcETDD,Lymphoid
BM2_bcGWIY,Monocyte
BM2_bcCDAB,Lymphoid
BM2_bcBXAF,Lymphoid
BM2_bcDZDS,Lymphoid
BM2_bcBILS,Lymphoid
BM2_bcICCU,Lymphoid
BM2_bcASAZ,HSC/MPP
BM2_bcEKAJ,Lymphoid
BM2_bcIBKT,Lymphoid
BM2_bcGZUF,Lymphoid
BM2_bcFJJL,Lymphoid
BM2_bcGVKI,Lymphoid
BM2_bcDPSH,Lymphoid
BM2_bcHXOK,Lymphoid
BM2_bcFVZE,Lymphoid
BM2_bcAQLA,Lymphoid
BM2_bcFVKE,Lymphoid
BM2_bcFSGI,Lymphoid
BM2_bcGIBT,Lymphoid
BM2_bcBKHO,Lymphoid
BM2_bcGTXQ,Lymphoid
BM2_bcHHFC,Lymphoid
BM2_bcHWUQ,Myeloid-biased-MPP
BM2_bcAGFL,Lymphoid
BM2_bcCNPQ,Lymphoid
BM2_bcHBWD,HSC/MPP
BM2_bcADDQ,Lymphoid
BM2_bcGZEV,Lymphoid
BM2_bcEDHL,Lymphoid
BM2_bcEJLL,HSC/MPP
BM2_bcEMNR,HSC/MPP
BM2_bcIBYA,HSC/MPP
BM2_bcEHKC,Lymphoid
BM2_bcFUKH,HSC/MPP
BM2_bcHXKW,Lymphoid
BM2_bcDZUA,HSC/MPP
BM2_bcEKXK,Lymphoid
BM2_bcDBOS,Lymphoid
BM2_bcEFIN,HSC/MPP
BM2_bcBIWD,Lymphoid
BM2_bcETIT,Lymphoid
BM2_bcEDYJ,Lymphoid
BM3_bcHDPF,HSC/MPP
BM3_bcANTM,HSC/MPP
BM3_bcAXVQ,HSC/MPP
BM3_bcHJSQ,HSC/MPP
BM3_bcDOOM,HSC/MPP
BM3_bcALQV,HSC/MPP
BM3_bcDUPX,HSC/MPP
BM3_bcAOPN,Lymphoid
BM3_bcBDVW,HSC/MPP
BM3_bcAJVT,HSC/MPP
BM3_bcEBGI,HSC/MPP
BM3_bcHHHJ,HSC/MPP
BM3_bcBBFK,HSC/MPP
BM3_bcFABY,HSC/MPP
BM3_bcGUEQ,HSC/MPP
BM3_bcCKXE,HSC/MPP
BM3_bcBVJZ,HSC/MPP
BM3_bcBSMP,HSC/MPP
BM3_bcETRG,HSC/MPP
BM3_bcENYB,HSC/MPP
BM3_bcHSYV,HSC/MPP
BM3_bcEVPC,HSC/MPP
BM3_bcFKUO,Myeloid-biased-MPP
BM3_bcHTTB,HSC/MPP
BM3_bcEOEE,Granulocyte
BM3_bcCBWQ,HSC/MPP
BM3_bcGGDY,HSC/MPP
BM3_bcIIFK,HSC/MPP
BM3_bcGSHK,HSC/MPP
BM3_bcBAOH,HSC/MPP
BM3_bcAHQK,HSC/MPP
BM3_bcDABF,HSC/MPP
BM3_bcHXML,HSC/MPP
BM3_bcHLCJ,HSC/MPP
BM3_bcBHRN,HSC/MPP
BM3_bcAMSF,Meg/Ery-biased-MPP
BM3_bcFHQS,Meg/Ery-biased-MPP
BM3_bcBOLY,Meg/Ery-biased-MPP
BM3_bcGOPO,HSC/MPP
BM3_bcBBZN,HSC/MPP
BM3_bcCTTO,HSC/MPP
BM3_bcFHRB,Granulocyte
BM3_bcCSHL,HSC/MPP
BM3_bcDYEE,HSC/MPP
BM3_bcHINN,HSC/MPP
BM3_bcEEHS,Lymphoid
BM3_bcAKXO,HSC/MPP
BM3_bcGGTN,HSC/MPP
BM3_bcHOQT,HSC/MPP
BM3_bcCOMB,Meg/Ery-biased-MPP
BM3_bcEWJM,HSC/MPP
BM3_bcDZOS,HSC/MPP
BM3_bcFLQH,HSC/MPP
BM3_bcHLTK,HSC/MPP
BM3_bcBDWW,Lymphoid
BM3_bcFCYW,HSC/MPP
BM3_bcACJZ,HSC/MPP
BM3_bcENVD,HSC/MPP
BM3_bcBCTF,HSC/MPP
BM3_bcFGHC,HSC/MPP
BM3_bcGYVP,HSC/MPP
BM3_bcIBBC,HSC/MPP
BM3_bcCHMP,HSC/MPP
BM3_bcFZLS,HSC/MPP
BM3_bcCEHH,Meg/Ery-biased-MPP
BM3_bcFRAX,HSC/MPP
BM3_bcBGZW,HSC/MPP
BM3_bcBEBJ,HSC/MPP
BM3_bcFMQA,HSC/MPP
BM3_bcBPXJ,HSC/MPP
BM3_bcATZK,HSC/MPP
BM3_bcFILL,Meg/Ery-biased-MPP
BM3_bcDVTA,HSC/MPP
BM3_bcEKXW,HSC/MPP
BM3_bcAPGD,HSC/MPP
BM3_bcALZZ,HSC/MPP
BM3_bcFOKM,HSC/MPP
BM3_bcCBCG,HSC/MPP
BM3_bcFJYH,HSC/MPP
BM3_bcCHDA,HSC/MPP
BM3_bcCFAD,HSC/MPP
BM3_bcDDQL,Meg/Ery-biased-MPP
BM3_bcFGKH,HSC/MPP
BM3_bcHNHV,HSC/MPP
BM3_bcDMKJ,HSC/MPP
BM3_bcGOLS,HSC/MPP
BM3_bcCEFP,HSC/MPP
BM3_bcBHLY,HSC/MPP
BM3_bcBFER,HSC/MPP
BM3_bcGQEE,HSC/MPP
BM3_bcBSBZ,HSC/MPP
BM3_bcFAAV,HSC/MPP
BM3_bcBXSB,HSC/MPP
BM3_bcFWZD,HSC/MPP
BM3_bcETFT,Meg/Ery-biased-MPP
BM3_bcCKXZ,HSC/MPP
BM3_bcFSXT,HSC/MPP
BM3_bcAFOG,HSC/MPP
BM3_bcBLXJ,HSC/MPP
BM3_bcDPCQ,HSC/MPP
BM3_bcEDAS,HSC/MPP
BM3_bcABLD,HSC/MPP
BM3_bcGNTU,HSC/MPP
BM3_bcHBYG,HSC/MPP
BM3_bcANEO,HSC/MPP
BM3_bcIFFY,HSC/MPP
BM3_bcDUMW,HSC/MPP
